               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.054726,            0.028585,           0.0042412,              0.1947,             0.21901,             0.12123,             0.03453,            0.077675,            0.015288,             0.01231,           0.0077478,           0.0077478,           0.0077478
                  93,            0.056759,            0.028997,           0.0042065,             0.16678,             0.23025,             0.10141,            0.027234,            0.069037,            0.015671,           0.0051332,            0.007723,            0.007723,            0.007723
                  94,            0.055805,            0.028298,            0.003788,             0.32057,             0.20218,             0.19946,            0.042999,            0.069139,            0.015636,           0.0064231,           0.0076983,           0.0076983,           0.0076983
                  95,            0.055027,            0.028652,           0.0042144,             0.22128,             0.19687,             0.11649,            0.033315,            0.068952,            0.016142,           0.0067435,           0.0076735,           0.0076735,           0.0076735
                  96,            0.053767,            0.027574,           0.0045588,              0.1407,              0.2552,            0.097853,            0.026743,            0.074568,            0.015104,            0.011999,           0.0076488,           0.0076488,           0.0076488
                  97,            0.054682,            0.028085,           0.0042245,             0.16669,             0.15125,            0.096076,            0.022354,            0.074725,            0.014862,            0.009807,            0.007624,            0.007624,            0.007624
                  98,            0.056046,            0.028324,           0.0043116,             0.25634,             0.17256,             0.11532,            0.032711,            0.071647,            0.015032,           0.0065199,           0.0075993,           0.0075993,           0.0075993
                  99,            0.055584,            0.027619,           0.0045836,             0.26824,             0.21102,              0.1313,            0.032526,             0.07221,            0.015096,           0.0094362,           0.0075745,           0.0075745,           0.0075745
                 100,            0.053477,            0.028584,           0.0044995,              0.2343,             0.25832,             0.10438,             0.02709,            0.068118,            0.017871,            0.007478,           0.0075498,           0.0075498,           0.0075498
                 101,            0.052759,            0.027814,           0.0057738,             0.15938,             0.14449,            0.089284,            0.024986,            0.076763,            0.015069,            0.009857,            0.007525,            0.007525,            0.007525
                 102,            0.053406,              0.0286,           0.0040757,             0.23674,             0.22713,             0.11152,            0.026303,            0.083595,            0.013866,            0.020077,           0.0075003,           0.0075003,           0.0075003
                 103,            0.053028,            0.029179,           0.0037845,             0.24702,             0.33732,             0.16988,            0.046008,            0.067816,            0.016832,           0.0061935,           0.0074755,           0.0074755,           0.0074755
                 104,            0.054883,            0.029596,           0.0035264,             0.35939,             0.26611,             0.18763,             0.05029,            0.064476,            0.016451,           0.0063079,           0.0074507,           0.0074507,           0.0074507
                 105,            0.052987,            0.027066,           0.0046486,             0.18284,             0.19751,            0.090173,            0.021852,            0.070909,            0.017167,           0.0075017,            0.007426,            0.007426,            0.007426
                 106,            0.052475,            0.028299,           0.0035653,             0.17334,             0.22245,             0.11053,            0.029978,             0.07165,             0.01529,            0.011168,           0.0074013,           0.0074013,           0.0074013
                 107,            0.052163,            0.028251,           0.0032741,             0.25511,             0.22709,             0.12894,            0.032714,            0.071577,            0.015938,            0.010709,           0.0073765,           0.0073765,           0.0073765
